"","Alfalfa_early_log2FoldChange","Mix_early_log2FoldChange","Compost_early_log2FoldChange","Alfalfa_late_log2FoldChange","Mix_late_log2FoldChange","Compost_late_log2FoldChange"
"Otu00064",5.4263054629711,4.28496862184575,NA,4.85453587136391,NA,NA
"Otu00138",4.04031827436921,NA,NA,NA,NA,NA
"Otu00151",4.15550785341509,NA,NA,NA,NA,NA
"Otu00477",4.10948541449106,4.3258391679593,5.2511843511075,NA,NA,NA
"Otu00494",5.6945539105729,5.04239069143942,NA,NA,NA,NA
"Otu00614",5.80923219823255,NA,NA,4.03728027802857,NA,NA
"Otu00666",5.03761639210537,4.14796936727583,NA,4.18132909517154,NA,NA
"Otu00717",4.50084813804324,NA,NA,NA,NA,NA
"Otu00728",4.80246173003574,4.7001511154603,NA,NA,NA,NA
"Otu00808",4.41306039647241,4.65737696474208,NA,5.22728471621732,4.58097183990594,NA
"Otu00832",5.09144023320744,NA,NA,6.42920472308971,NA,NA
"Otu00847",4.14519955050931,4.15836607649167,4.53174410607738,4.79591877275788,4.38671680143741,4.5565282375472
"Otu00900",4.1115980734214,NA,NA,NA,NA,NA
"Otu00933",4.60462744625843,NA,NA,NA,NA,NA
"Otu00953",4.28347256674321,NA,NA,4.25538480787287,NA,NA
"Otu00995",4.66517787084891,NA,NA,NA,NA,NA
"Otu01189",4.13200453272371,NA,NA,NA,NA,NA
"Otu01203",4.1229988803011,NA,NA,4.98363190766428,NA,NA
"Otu01264",4.38609645081594,4.48983459483772,4.66692545626933,NA,NA,NA
"Otu01303",4.20249319945596,NA,NA,NA,NA,NA
"Otu01343",4.14796974408731,4.09499264782988,NA,NA,NA,NA
"Otu01345",4.85990195950822,4.438155553792,NA,NA,NA,NA
"Otu01522",4.89324428702202,NA,NA,NA,NA,NA
"Otu01556",4.70594371854228,NA,NA,NA,NA,NA
"Otu01694",4.41407800850163,NA,NA,NA,NA,NA
"Otu01805",4.45876215562329,NA,NA,NA,NA,NA
"Otu01822",4.43309753691598,4.45357149576253,NA,NA,NA,NA
"Otu02001",4.59874696770416,NA,NA,NA,NA,NA
"Otu02049",4.04167170299432,NA,NA,NA,NA,NA
"Otu02079",4.34759601079027,4.6359564667822,NA,NA,NA,NA
"Otu02163",4.02880668749179,4.70205499023231,NA,NA,NA,NA
"Otu02518",4.50322688874574,NA,NA,NA,NA,NA
"Otu00098",NA,NA,NA,4.49375702410089,NA,NA
"Otu00400",NA,NA,NA,4.37112797655208,NA,NA
"Otu00608",NA,NA,NA,5.38120264507026,4.35069018046001,4.8065818554516
"Otu00889",NA,NA,NA,5.14443834359424,4.11166710607133,NA
"Otu01202",NA,NA,NA,4.87798543779456,NA,4.19626235385433
"Otu01296",NA,NA,NA,4.39666979572233,4.18470335789215,4.09265069778167
"Otu01355",NA,NA,NA,4.35899372443132,NA,NA
"Otu01600",NA,NA,NA,4.02613514897355,NA,NA
"Otu01743",NA,NA,NA,4.27717821826402,NA,NA
"Otu00022",NA,5.60307008080259,7.3338296230548,NA,4.40034296536523,6.39772364306175
"Otu00092",NA,4.34392322061759,5.81092599295182,NA,NA,NA
"Otu00103",NA,4.42521541275593,5.13312815599228,NA,4.62576037585927,6.22465293227301
"Otu00130",NA,4.79584630207698,6.5639012093245,NA,4.14125454994493,5.24750678721946
"Otu00139",NA,5.80473395535838,6.12595063561981,NA,NA,5.05482731682826
"Otu00277",NA,4.02113264944923,4.56474588886261,NA,NA,4.58730290728087
"Otu00279",NA,NA,4.06148312979123,NA,NA,NA
